agent,contrast,task,sr_ref,sr_treat,delta_sr,p_value,q_value,victim
qwen3-vl-plus,polluted_order:shuffle,articlenews_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,articlenews_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,articlenews_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,articlenews_19,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,articlenews_4,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,baidubrowser_13,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,baidubrowser_14,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,baidubrowser_15,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,baidubrowser_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,baidubrowser_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,baidubrowser_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,baidubrowser_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,bili_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,bili_17,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,bili_18,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,bili_27,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,bili_28,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,fanqieread_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,fanqieread_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,fanqieread_25,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,fanqieread_26,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,fanqieread_5,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,fanqieread_6,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,minimap_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,minimap_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,minimap_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,neteasemusic_19,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,neteasemusic_21,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,neteasemusic_22,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,neteasemusic_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,neteasemusic_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,neteasemusic_8,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,pinduoduo_16,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,pinduoduo_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,pinduoduo_27,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,pinduoduo_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,pinduoduo_7,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,qq_12,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,qq_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,qq_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,qq_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,qq_2,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,qq_20,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,qq_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,rimet_16,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,rimet_17,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,rimet_18,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,rimet_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,rimet_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,seeyou_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,seeyou_5,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,seeyou_6,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,seeyou_7,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,tonghuashun_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,tonghuashun_28,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,tonghuashun_29,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,tonghuashun_9,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,wuba_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,wuba_23,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,wuba_24,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,wuba_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,wuba_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,polluted_order:shuffle,wuba_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_0,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_1,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_10,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_11,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_14,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_15,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_18,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_19,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_2,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_3,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_5,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_6,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_7,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_8,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,articlenews_9,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_0,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_1,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_10,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_11,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_12,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_13,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_14,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_15,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_19,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_2,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_3,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_5,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_6,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_7,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_8,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,baidubrowser_9,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_0,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_1,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_10,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_11,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_12,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_14,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_17,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_18,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_2,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_20,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_21,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_22,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_23,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_24,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_25,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_26,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_27,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_28,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_29,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_3,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_5,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_6,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_8,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,bili_9,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_0,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_1,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_10,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_11,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_14,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_15,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_16,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_17,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_2,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_20,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_21,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_22,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_23,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_24,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_25,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_26,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_29,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_3,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_5,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_6,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_8,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,fanqieread_9,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_0,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_1,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_10,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_11,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_13,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_14,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_19,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_2,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_3,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_4,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_5,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_6,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_7,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,minimap_8,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_0,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_1,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_10,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_11,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_12,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_13,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_14,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_15,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_16,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_18,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_2,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_20,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_21,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_22,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_23,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_24,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_25,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_29,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_3,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_5,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_6,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_8,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,neteasemusic_9,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_0,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_1,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_10,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_11,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_12,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_13,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_14,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_16,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_17,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_19,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_2,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_20,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_21,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_22,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_23,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_24,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_25,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_27,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_28,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_29,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_3,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_4,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_5,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_6,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_7,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_8,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,pinduoduo_9,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_0,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_1,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_10,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_11,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_12,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_13,0.0000,1.0000,+1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_14,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_15,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_16,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_17,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_18,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_19,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_2,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_20,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_21,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_22,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_23,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_24,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_25,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_26,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_27,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_28,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_29,0.0000,0.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_3,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_4,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_5,1.0000,0.0000,-1.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_6,1.0000,1.0000,+0.0000,1.000000,1.000000,0
qwen3-vl-plus,group:none,qq_7,1.0000,1.0000,+0.0000,1.000000,1.000000,0
